name_last,name_first,key_fangraphs,key_mlbam,mlb_played_first,hand,Name,mlb_played_last
Aardsma,David,1902,430911,2004,R,David Aardsma,2015
Abad,Fernando,4994,472551,2010,L,Fernando Abad,2019
Accardo,Jeremy,6428,435618,2005,R,Jeremy Accardo,2012
Aceves,Alfredo,5164,469686,2008,R,Alfredo Aceves,2014
Achter,A. j.,11387,592091,2014,R,A. j. Achter,2016
Acosta,Manny,8725,407924,2007,R,Manny Acosta,2012
Adam,Jason,11861,592094,2018,R,Jason Adam,2021
Adams,Austin,13801,613534,2017,R,Austin Adams,2021
Adams,Austin,7411,542866,2014,R,Austin Adams,2019
Adams,Mike,1937,430606,2004,R,Mike Adams,2014
Adcock,Nathan,3282,502264,2011,R,Nathan Adcock,2015
Adleman,Tim,10968,534947,2016,R,Tim Adleman,2017
Affeldt,Jeremy,583,346793,2002,L,Jeremy Affeldt,2015
Agrazal,Dario,15821,642607,2019,R,Dario Agrazal,2019
Albaladejo,Jonathan,3521,452293,2007,R,Jonathan Albaladejo,2012
Albers,Andrew,7853,452027,2013,L,Andrew Albers,2017
Albers,Matt,4300,458006,2006,R,Matt Albers,2019
Alburquerque,Al,6324,456379,2011,R,Al Alburquerque,2017
Alcantara,Sandy,18684,645261,2017,R,Sandy Alcantara,2021
Alcantara,Victor,15028,622505,2017,R,Victor Alcantara,2019
Alexander,Scott,10591,518397,2015,L,Scott Alexander,2021
Alexander,Tyler,17735,641302,2019,L,Tyler Alexander,2021
Allard,Kolby,18694,663465,2018,L,Kolby Allard,2021
Allen,Cody,12183,592102,2012,R,Cody Allen,2019
Allen,Logan,18555,663531,2019,L,Logan Allen,2021
Almonte,Yency,15068,622075,2018,R,Yency Almonte,2021
Altavilla,Dan,16507,656186,2016,R,Dan Altavilla,2021
Alvarado,Jose,17780,621237,2017,L,Jose Alvarado,2021
Alvarez,Henderson,5669,506693,2011,R,Henderson Alvarez,2017
Alvarez,Jose,5358,501625,2013,L,Jose Alvarez,2021
Alzolay,Adbert,17859,640470,2019,R,Adbert Alzolay,2021
Ambriz,Hector,559,459932,2010,R,Hector Ambriz,2014
Anderson,Brett,8223,474463,2009,L,Brett Anderson,2021
Anderson,Chase,6895,502624,2014,R,Chase Anderson,2021
Anderson,Cody,12799,594736,2015,R,Cody Anderson,2019
Anderson,Justin,16201,605121,2018,R,Justin Anderson,2019
Anderson,Nick,18337,623433,2019,R,Nick Anderson,2020
Anderson,Shaun,19453,641312,2019,R,Shaun Anderson,2020
Anderson,Tyler,12880,542881,2016,L,Tyler Anderson,2021
Andriese,Matt,12022,542882,2015,R,Matt Andriese,2021
Arano,Victor,15915,644364,2017,R,Victor Arano,2019
Araujo,Elvis,12854,542587,2015,L,Elvis Araujo,2016
Archer,Chris,6345,502042,2012,R,Chris Archer,2021
Arias,Alberto,3087,464244,2007,R,Alberto Arias,2009
Armstrong,Shawn,12857,542888,2015,R,Shawn Armstrong,2021
Arredondo,Jose,4722,461766,2008,R,Jose Arredondo,2012
Arrieta,Jake,4153,453562,2010,R,Jake Arrieta,2021
